id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ion,Mitte,Brunnenstr. Süd,52.53305,13.40394,Entire home/apt,53,90,144,2021-11-02,2.08,4,326,10,
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,90,92,147,2021-01-01,0.97,1,170,1,
7071,BrightRoom with sunny greenview!,17391,BrightRoom,Pankow,Helmholtzplatz,52.54301,13.41534,Private room,33,1,293,2020-03-31,1.95,1,0,0,
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,180,6,8,2020-01-04,0.10,1,0,0,03/Z/RA/003410-18
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,70,95,26,2021-06-21,0.19,3,159,1,
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50312,13.43508,Entire home/apt,90,60,48,2017-12-14,0.34,2,230,0,
17904,Beautiful Kreuzberg studio - 3 months minimum,68997,Matthias,Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,44,92,297,2021-10-20,2.06,1,212,19,
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,169,3,90,2021-11-17,0.80,1,161,4,Genehmigung BA Pankow 03/Z/ZA/002715-17 Genehigungsbescheid vom 16.05.2017
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5046,13.43374,Entire home/apt,70,60,60,2016-06-05,0.44,2,199,0,
22438,WOHNUNG IN BERLIN ★ MITTE,86159,Javier,Mitte,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,65,90,181,2020-11-30,1.39,1,170,0,
22677,Prenzel garden with leafy terrace (quiet Guests),87357,Ramfis,Mitte,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,111,2,339,2021-12-05,2.49,1,252,30,01/Z/NA/004976-16
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,65,185,99,2019-08-31,0.71,1,0,0,
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.52931,13.41999,Entire home/apt,100,5,22,2021-07-30,0.16,1,18,1,
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54419,13.41956,Entire home/apt,208,3,188,2021-10-31,1.36,1,175,1,03/Z/RA/005604-20
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,80,95,33,2021-05-30,0.24,3,141,1,
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54367,13.42431,Entire home/apt,80,92,77,2021-07-31,0.56,3,234,2,
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,107,4,328,2021-12-05,2.39,4,330,26,"First name and Last name: Michele Fossi  (michelefossi@gmail.com) <br/> Contact address: Kastanienallee 10, DG rechts , 10435, Berlin, Germany <br/>Listing address: Ahlbeckerstr. 11A, VdH Rechts - Gewerbeeinheit, 10437, Berlin, Berlin"
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.52195,13.3559,Entire home/apt,62,3,213,2020-12-26,1.54,1,0,1,01/Z/ZA/005188-16
33728,Kurfürstendamm-Apartment with Wifi from 15. March,145808,Veronika,Charlottenburg-Wilm.,Halensee,52.49884,13.30326,Entire home/apt,27,70,22,2018-03-10,0.16,3,169,0,
35152,Private Room w/ own bath in Design Mitte Loft,151248,Flo,Mitte,Brunnenstr. Süd,52.5349,13.39857,Private room,80,2,25,2021-11-14,0.20,1,0,5,01/Z/AZ/009943-19
37004,WONDERFUL ROOM for a bubble in Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49376,13.36408,Private room,37,10,26,2021-10-02,0.19,1,297,1,07/Z/AZ/005813-18
37554,More central+calm it won´t get !!,161823,Iván,Mitte,Regierungsviertel,52.50906,13.39374,Entire home/apt,19,5,8,2018-06-04,0.12,1,0,0,
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4987,13.44041,Private room,40,2,206,2021-12-06,1.48,2,83,3,02/Z/AZ/014158-21
38074,"In the heart of Prenzlauer Berg, 3 months min stay",163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Süd,52.53713,13.42473,Entire home/apt,99,92,107,2021-11-20,0.78,10,261,1,"First name and Last name: Alan Connaughton <br/> Contact address: Grellstraße 34, 10409, Berlin, Germany <br/>Listing address: Jablonskistraße 24, 10405, Berlin, Deutschland"
40600,room-artist loft berlin kreuzberg,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48968,13.41993,Private room,53,3,50,2016-09-26,0.42,2,0,0,
41217,Beautiful room,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.5378,13.41287,Private room,43,15,70,2017-10-08,0.51,1,0,0,
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.53163,13.42152,Private room,49,1,1,2014-09-26,0.01,1,0,0,
42487,Weekend in Berlin Party Center - I,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49661,13.44038,Private room,39,1,17,2021-12-07,0.14,2,58,1,02/Z/AZ/014158-21
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,119,4,179,2021-12-15,1.35,1,285,17,02/Z/RA/012660-20
44423,Lovely accommodation in Berlin,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50943,13.45458,Private room,56,82,105,2019-01-11,0.77,1,0,0,02/Z/AZ/008330-18
47938,Lovely 2 BR flat in Prenzlauer Berg,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.53197,13.41994,Entire home/apt,169,5,40,2020-07-20,0.29,1,0,0,03/Z/RA/003442-18
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.50469,13.29409,Entire home/apt,55,92,15,2019-12-31,0.14,1,348,0,
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,250,3,99,2021-10-20,0.74,3,221,6,03/Z/RA/003544-18
58041,Apt. in a historic ambience+Wifi from,145808,Veronika,Mitte,Brunnenstr. Süd,52.52826,13.39135,Entire home/apt,74,90,73,2018-11-16,0.61,3,31,0,
58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,118,5,46,2021-10-22,0.37,2,194,1,03/Z/RA/003443-18
64014,"Rooftop apt w/ a view, 2 bedrooms/bathrooms, sauna",312896,Stephan,Mitte,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,163,3,13,2021-11-22,0.10,1,351,2,01/Z/RA/013285-21
64245,Room w/ balcony and private bathroom in nice area,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.54792,13.40465,Private room,60,2,59,2021-10-25,0.46,2,83,3,
64590,Great apt. w. balcony directly on the canal!,315681,Mirjam,Neukölln,Reuterstraße,52.49337,13.42555,Entire home/apt,118,6,48,2021-08-30,0.39,1,9,3,08/Z/RA/007798-19
