id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,102,1,22,2021-10-25,0.21,19,15,1,HUTB-002062
23197,Forum CCIB DeLuxe★Spacious &Elegant★Large Balcony,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41291,2.22063,Entire home/apt,220,3,53,2021-10-27,0.41,2,46,1,HUTB-005057
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,144,2,63,2020-02-22,0.50,3,7,0,HUTB-001722
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,214,4,159,2021-11-15,1.17,2,149,10,HUTB-001506
35318,Luxury room with private bathroom and balcony,152070,Michel,Ciutat Vella,el Barri Gòtic,41.3817,2.1773,Private room,93,3,242,2019-05-12,1.89,1,148,0,
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,36,2,85,2021-11-02,0.68,1,246,12,
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,50,2,197,2021-11-29,1.54,6,310,30,HUTB-001282
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,110,3,39,2015-10-13,0.33,4,318,0,HUTB-003549
46153,CHIC SANT PERE★NO SHARING ★GREAT LOCATION ★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38866,2.17839,Entire home/apt,28,128,3,2021-04-30,0.02,2,133,1,Exempt
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,144,2,43,2020-10-26,0.34,3,240,0,HUTB-001723
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3897,2.16396,Entire home/apt,105,2,54,2021-03-14,0.53,4,276,2,HUTB-005863
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Private room,49,31,93,2021-08-10,0.72,2,355,3,
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,345,0,HUTB-007966
71553,Unique  Promotion   penthouse by Sagrada Familia,366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,96,3,62,2021-11-18,0.48,3,360,13,HUTB-002424
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,100,1,464,2021-12-06,5.22,6,338,112,HUTB-000173
73455,RAMBLAS FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38551,2.16665,Entire home/apt,136,2,126,2021-11-08,1.21,10,335,9,HUTB-001779
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,309,2,164,2020-02-02,1.28,3,1,0,HUTB-001722
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37315,2.1665,Entire home/apt,65,2,51,2021-11-14,0.55,4,330,2,hutb-005825
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37325,2.16049,Entire home/apt,65,2,90,2021-09-30,0.79,4,291,5,hutb-005832
75003,130. Hércules Pequeño 41,396363,Alcambarcelona,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,122,2,21,2020-09-19,0.16,98,212,0,HUTB-001363
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,103,3,42,2021-11-04,0.35,9,333,12,HUTB-000083
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,107,4,131,2021-11-17,1.02,1,31,4,HUTB-004026
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38237,2.16146,Private room,46,3,108,2021-10-01,0.84,6,62,1,
89756,"bcn-rentals ramblas  nº 1, just 10 min to Ramblas",488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,245,6,17,2021-07-23,0.15,6,335,1,HUTB-013579
95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496,2.17982,Private room,70,4,236,2021-11-13,1.83,2,359,4,
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40913,2.16503,Entire home/apt,35,90,65,2021-08-06,0.53,1,294,1,
107437,Beautiful villa surrounded  of forest in Barcelona,556626,Cristina,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,Entire home/apt,166,3,69,2021-08-25,0.54,2,286,6,HUTB-009025
110041,002. Alió 2 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,99,2,31,2021-10-19,0.27,98,325,4,HUTB-003671
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,197,4,88,2021-11-28,0.69,16,12,8,HUTB-000333
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,192,2,19,2021-11-28,0.15,16,13,4,HUTB-000328
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Private room,38,3,301,2021-12-05,2.41,1,336,19,HUTB-012603
130227,Spacious Room with Pool and Terrace,641496,Dolors,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40779,2.21146,Private room,75,1,107,2021-07-09,1.15,1,351,1,Exempt
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,80,2,131,2021-09-23,1.06,1,333,4,
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,Les Corts,Pedralbes,41.38832,2.12201,Private room,55,30,128,2019-08-27,1.03,5,0,0,
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,206,2,88,2021-11-28,0.70,16,13,6,HUTB000329
142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.38062,2.17465,Entire home/apt,44,31,27,2017-09-20,0.22,3,0,0,
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38189,2.15857,Private room,44,3,36,2019-10-18,0.28,6,58,0,
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42337,2.1749,Private room,15,4,105,2021-11-22,1.31,1,314,7,Exempt
153376,Single room. central and quite,737399,Omar,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38615,2.17636,Private room,65,2,7,2019-10-11,0.23,1,0,0,
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39202,2.15101,Private room,33,15,85,2021-09-17,0.68,1,86,5,Exempt
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,193,2,46,2021-11-28,0.39,16,12,5,HUTB000326
163536,Cosy design apartment trendy  Born 5 bed 2bathroom,713364,Horacio,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38663,2.18257,Entire home/apt,223,15,26,2020-08-29,0.22,2,365,0,
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40671,2.18592,Entire home/apt,98,3,44,2020-01-06,0.42,9,68,0,HUTB-004663
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40681,2.18553,Entire home/apt,106,3,10,2019-08-21,0.10,9,279,0,HUTB-004664
174382,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,193,2,7,2021-11-08,0.09,16,14,1,HUTB000327
179619,Affordable Barcelona for you!,860071,Joan,Sants-Montjuïc,la Bordeta,41.36969,2.13619,Private room,27,3,50,2018-09-28,0.40,2,7,0,Exempt
186540,Fully equipped loft near Sagrada Familia,896554,Josep Lluís,Sant Martí,el Clot,41.41253,2.18928,Entire home/apt,36,32,13,2021-10-18,0.20,1,6,2,
188267,"SPECIAL 3 BEDROOM Platinum flat Balconies, center",366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39258,2.17692,Entire home/apt,200,3,84,2021-11-05,0.68,3,315,3,hutb-005119
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.38893,2.12443,Private room,46,7,1,2016-06-09,0.01,1,0,0,
