id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,80,3,376,2021-12-10,2.83,1,278,37,
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94383,-3.18445,Entire home/apt,95,3,228,2021-08-25,1.67,1,0,11,
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,49,4,57,2021-04-30,0.62,2,301,1,
44552,Double room - spacious Leith flat,195950,Shaun,,South Leith,55.96612,-3.17184,Private room,38,2,208,2021-11-15,1.51,2,68,9,
48645,Large sunny room on Royal Mile,221474,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,143,1,875,2020-10-03,6.61,2,14,0,
54188,The Four Sisters Boatel,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,236,1,37,2021-11-02,0.33,2,283,3,
55881,Lovely central apartment sleeps 6,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,143,2,263,2021-12-07,2.03,1,274,13,
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,183,3,122,2021-11-22,1.21,4,144,9,
74877,Stunning luxury 2 Bedroom Loft Apartment  Balcony,407268426,Mary,,North Leith and Newhaven,55.97785,-3.17872,Entire home/apt,115,2,116,2021-11-29,0.96,1,174,19,
85620,Rustic Urban Retreat in City View Flat,334208,Carrie,,Leith (Albert Street),55.96252,-3.17595,Entire home/apt,80,2,527,2021-12-08,4.14,1,270,64,
93904,Central Ensuite Room +Hot Breakfast,502783,Brett,,Deans Village,55.94571,-3.2189,Private room,55,1,506,2021-12-12,3.93,1,321,27,
97472,"PERFECT LOCATION,FREE PARKING,WIFI",486859,Alan,,Morningside,55.93,-3.20995,Entire home/apt,75,300,38,2021-08-30,0.30,1,350,5,
112625,"EPICUREAN CLERK - HUGE, CENTRAL",574430,Michele,,Meadows and Southside,55.93865,-3.1794,Entire home/apt,281,2,116,2021-11-14,0.92,1,264,2,
118314,Vibrant Cottage-style Flat in Leith Links,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96814,-3.16032,Entire home/apt,148,2,196,2021-11-05,1.53,6,322,11,
122930,Explore the Royal Mile from a City View Apartment,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,80,3,723,2021-12-12,5.81,1,315,47,
143047,Luxurious for 4 in Great Location,694281,Paul,,Hillside and Calton Hill,55.95921,-3.17832,Entire home/apt,180,2,15,2019-08-24,0.12,1,343,0,
159769,Ground Floor Garden Flat in City,273097,Lyn,,Newington and Dalkeith Road,55.93802,-3.17812,Entire home/apt,1500,7,1,2017-01-03,0.02,3,83,0,
163870,"Stunning 2 bedroom flat @ the Shore, free parking",129153119,Anne,,The Shore and Constitution Street,55.97511,-3.17058,Entire home/apt,78,3,163,2021-12-05,1.29,1,200,43,
170756,Guest-room in Central Penthouse,278168,Maureen,,Tollcross,55.94385,-3.20925,Private room,50,2,347,2020-09-01,2.78,1,0,0,
177944,Nice Central Double room incl. Breakfast,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,51,1,28,2021-12-06,0.22,5,364,2,
180429,Bright Central Double room incl. Breakfast,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,61,1,58,2021-12-12,0.46,5,360,4,
182127,Twin room in spacious Leith flat,195950,Shaun,,Easter Road and Hawkhill Avenue,55.96463,-3.17273,Private room,35,2,31,2021-11-28,0.25,2,29,6,
197220,1 bedroom flat in a great location,960760,Carl,,Marchmont East and Sciennes,55.93757,-3.18762,Private room,85,1,1,2012-01-03,0.01,1,0,0,
214571,Awesome location on High Street,1107698,Michael,,"Old Town, Princes Street and Leith Street",55.94909,-3.19033,Entire home/apt,200,2,241,2021-11-21,1.98,1,296,15,
216245,"Luxury, City Centre, Free Parking & Wifi - T",173941,Neil,,Dalry and Fountainbridge,55.94392,-3.22007,Entire home/apt,125,2,29,2020-01-14,0.25,5,82,0,
229494,Large Room in Quirky Wee Apartment - Arthur's Seat,1198626,Sally,,Newington and Dalkeith Road,55.94232,-3.17771,Private room,61,2,532,2021-11-21,4.29,1,139,6,
233839,Double bedroom in central Edinburgh,992589,Angie,,Drylaw,55.9637,-3.24809,Private room,25,2,319,2021-11-22,2.87,1,260,6,
241054,Luxury DoubleRoom- private bathroom,1264756,Susan,,Easter Road and Hawkhill Avenue,55.9628,-3.1617,Private room,44,3,185,2020-01-02,1.59,2,0,0,
241511,HOME-FROM-HOME - Tranquil city centre room for 1-5,1267059,David,,Broughton South,55.96497,-3.18745,Private room,34,1,194,2020-03-08,1.60,1,0,0,
243941,"The Heart Of Scotland, Apartment For Large Family",1280035,Benedetto,,Bonnington,55.97313,-3.18573,Entire home/apt,253,2,101,2021-12-12,0.91,1,306,13,
256783,Double Room in Central Edinburgh. Private Shower,273097,Lyn,,Newington and Dalkeith Road,55.93966,-3.1769,Private room,67,2,304,2021-12-12,2.47,3,286,11,
286315,"Ideal for short visit or working trip, Marchmont.",1490036,Sitar,,Marchmont West,55.93816,-3.19573,Private room,40,2,26,2020-03-10,0.21,1,221,0,
303689,Quiet Single Room in Edinburgh-Wifi,1563155,Carole,,Oxgangs,55.90737,-3.22198,Private room,120,1,13,2017-05-28,0.11,1,364,0,
