id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
157612,New attic space/single & Dble room,757016,Margaret,Salford,Salford District,53.50114,-2.26429,Entire home/apt,36,2,100,2021-11-19,0.83,1,323,4,
283495,En-suite room in detached house,1476718,Alison,Rochdale,Rochdale District,53.56259,-2.21945,Private room,75,3,10,2018-08-05,0.12,1,342,0,
299194,Cosy Garden Chalet for all seasons,1542010,Minh,Stockport,Stockport District,53.376,-2.04462,Entire home/apt,50,2,293,2021-10-31,2.48,1,350,25,
310742,Nice room 10 minutes walk from town,1603652,Francisca,Manchester,Ancoats and Clayton,53.48251,-2.22802,Private room,34,180,64,2018-01-12,0.53,1,330,0,
390028,Single Room with Private Bathroom,1951261,Gillian,Stockport,Stockport District,53.38927,-2.21401,Private room,36,2,40,2019-11-22,0.39,1,356,0,
411843,"Rest&Recharge - Birley View (2-Bedroom, Up to 5 Beds, Free Secure Parking)",2046430,Tom,Manchester,Hulme,53.46849,-2.24403,Entire home/apt,129,2,225,2021-10-01,1.90,23,325,6,
412687,Ivy Bank.Altrincham's original & cosy Airbnb flat,2053716,Bev,Trafford,Trafford District,53.393,-2.34904,Entire home/apt,70,2,330,2021-12-19,2.89,1,101,41,
556920,Central Manchester room-character private bathroom,2738322,Jane,Manchester,Ancoats and Clayton,53.48138,-2.22366,Private room,37,2,174,2021-11-25,2.68,2,124,16,
568034,Comfortable double room in Chorlton,2794391,Helen,Manchester,Chorlton,53.44635,-2.27818,Private room,41,1,347,2021-12-19,3.04,2,166,16,
610613,Dbl Room good access to city centre,3027563,Bob And Christine,Manchester,Didsbury West,53.42744,-2.23273,Private room,37,1,501,2021-12-11,4.39,3,328,34,
651097,DOUBLE ROOM+ENSUITE IN CITY CENTRE W/ FREE PARKING,3270691,Brian,Manchester,City Centre,53.475033,-2.244769,Private room,118,2,268,2021-12-20,2.36,1,330,27,
681857,A perfect Home away from home,3472687,Thembalani,Manchester,Ancoats and Clayton,53.48888,-2.21156,Entire home/apt,80,2,232,2021-11-14,2.21,2,169,14,
711322,Lovely room  in Manchester city,3086011,Gertrude,Manchester,Hulme,53.4645,-2.25904,Private room,35,30,28,2019-11-23,0.27,2,354,0,
711323,Lovely room in Manchester city,3086011,Gertrude,Trafford,Trafford District,53.46352,-2.26062,Private room,33,30,33,2020-02-23,0.32,2,354,0,
735851,Manchester-Stockport-Cheadle,3839436,Siobhan,Stockport,Stockport District,53.40018,-2.1937,Entire home/apt,90,2,76,2021-11-28,0.76,1,30,11,
753374,"Comfy family home, Mosely Rd, Close to Swamy  II",3962880,Soraya & Shahin,Manchester,Burnage,53.43564,-2.19836,Private room,30,2,108,2021-12-07,0.98,2,353,2,
758206,Victorian Townhouse Manchester ~ 1,3988014,A'Dell,Stockport,Stockport District,53.39398,-2.15342,Private room,50,1,73,2021-12-12,0.66,2,349,6,
912553,"Comfortable en-suite room, Didsbury",3027563,Bob And Christine,Manchester,Didsbury West,53.42618,-2.23419,Private room,41,1,440,2021-12-12,4.17,3,322,40,
917497,Single in WhiteRooms ChorltonGreen,4917842,Gwyn,Manchester,Chorlton,53.4401,-2.28187,Private room,33,3,53,2020-01-26,0.50,4,110,0,
917498,"Peaceful Attic-Room, 3, Chorlton",4917842,Gwyn,Manchester,Chorlton,53.4394,-2.28205,Private room,35,3,66,2020-07-13,0.62,4,172,0,
917504,Double/Ensuite in bohemian Chorlton,4917842,Gwyn,Manchester,Chorlton,53.43954,-2.28164,Private room,45,3,130,2020-01-02,1.21,4,39,0,
968898,Double Room CLOSE TO PICCADILLY,5289300,Mimi,Manchester,Bradford,53.47545,-2.16597,Private room,66,7,0,,,1,365,0,
1111565,Fab Apartment in Didsbury Village,6100874,Alan And Sharon,Manchester,Didsbury West,53.41665,-2.23386,Entire home/apt,78,7,29,2021-12-09,0.31,3,37,3,
1117458,Super 2 bed East Didsbury Apartment,6100874,Alan And Sharon,Manchester,Didsbury East,53.40903,-2.22362,Entire home/apt,78,10,21,2021-02-22,0.23,3,80,1,
1162564,Double Private Room 1 in Manchester,6201208,Tyra,Manchester,Withington,53.43229,-2.22171,Private room,60,1,24,2021-11-05,0.30,3,327,1,
1174058,room to rent/let,6425594,Ilona Helen,Salford,Salford District,53.51148,-2.36253,Private room,66,3,0,,,1,365,0,
1199469,"Boutique Mews Cottage, West Didsbury",6552609,David,Manchester,Chorlton Park,53.42646,-2.24544,Entire home/apt,200,2,140,2021-12-19,1.37,1,324,25,
1219648,"Chew Cottage Saddleworth, Manchester",6653838,Jeanne,Oldham,Oldham District,53.53401,-2.00063,Entire home/apt,79,2,220,2021-10-25,2.42,2,335,25,
1219714,"Gorsey Cottage Saddleworth,Greater Manchester",6653838,Jeanne,Tameside,Tameside District,53.52655,-2.04946,Entire home/apt,101,2,253,2021-11-20,2.65,2,353,18,
