id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.24262,16.42767,Hotel room,120,1,14,2021-10-07,0.17,3,364,3,
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,66,3,336,2021-11-14,2.57,3,124,13,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,156,1,162,2021-11-01,1.17,15,306,7,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,62,3,327,2021-11-22,2.47,3,136,18,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,117,2021-06-25,0.90,3,333,1,
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22207,16.31594,Entire home/apt,77,3,50,2019-01-02,0.40,1,0,0,
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23493,16.36752,Entire home/apt,65,4,14,2019-12-01,0.11,1,283,0,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,98,1,631,2020-11-01,4.87,2,264,0,
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,101,1,123,2021-11-02,1.04,15,356,4,
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,52,3,152,2021-11-02,1.19,2,149,6,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,82,1,120,2020-01-04,0.94,15,365,0,
114953,"Modern Apartment, free Parking, flexible check-in",562563,Babsi,,Floridsdorf,48.26211,16.39924,Entire home/apt,69,3,17,2020-07-18,0.17,1,0,0,
119627,Messe Wien Apartment Vienna,341923,Anika,,Leopoldstadt,48.22068,16.40645,Entire home/apt,81,2,27,2021-09-01,0.22,3,349,1,
121026,Feels-Like-Home Apt @ Praterstern,608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,71,3,295,2021-11-22,2.31,2,330,25,
125683,Cozy studio infront of Prater.,624511,Mathias,,Leopoldstadt,48.21914,16.40276,Entire home/apt,75,2,54,2020-02-10,0.52,2,342,0,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,140,1,2,2018-12-16,0.05,14,316,0,
149759,Near the Sofitel.10 min from Stephanplatz,722110,Mag. Patricia,,Leopoldstadt,48.21272,16.3806,Entire home/apt,120,3,7,2020-12-12,0.06,1,2,1,
153988,City Center Apartment - Free Wifi unlimited,739130,Roman,,Alsergrund,48.21606,16.34875,Entire home/apt,52,1,130,2021-11-01,1.04,1,320,5,
155762,"Cosy, urban, perfect location close to city center",748953,Andrea,,Leopoldstadt,48.22113,16.36907,Entire home/apt,43,14,8,2021-10-30,0.08,2,167,2,
163792,Apartment Vienna Simmering,651150,Klaus & Ligia,,Simmering,48.18022,16.41955,Entire home/apt,41,3,106,2021-08-12,0.85,1,67,5,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,36,2,366,2021-11-15,2.91,1,358,2,
169752,Naschmarkt mini: modern studio in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,74,1,65,2021-08-28,0.82,6,6,6,
169852,Naschmarkt classic: spacious flat in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,73,1,65,2020-12-15,0.53,6,8,1,
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,108,1,2,2017-01-05,0.03,14,270,0,
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,108,1,1,2016-08-03,0.02,14,285,0,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,76,1,5,2018-09-02,0.04,14,322,0,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,76,1,0,,,14,304,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,86,1,0,,,14,295,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,140,1,0,,,14,334,0,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,140,1,3,2016-12-14,0.03,14,293,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,86,1,0,,,14,316,0,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,86,1,3,2018-05-06,0.03,14,321,0,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,86,1,2,2021-10-30,0.08,14,307,1,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,187,1,1,2014-01-05,0.01,14,311,0,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,187,1,1,2017-05-01,0.02,14,334,0,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,96,1,66,2021-10-19,0.59,2,362,4,
208734,美妙的维也纳市中心居家生活体验!,1028000,Liang,,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,2019-05-21,0.40,1,0,0,
210780,Elegant Home Close to Palace Schönbrunn,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,95,1,160,2021-10-03,1.29,15,333,4,
212649,roofflat in the center with terrace,358842,Elxe,,Leopoldstadt,48.21971,16.37903,Private room,45,2,23,2020-03-14,0.20,3,333,0,
214707,Charming single studio - Near city center!,1108400,Dan,,Leopoldstadt,48.21296,16.37858,Entire home/apt,20,1,573,2021-11-23,4.64,42,334,37,
221345,Welcome to Apartment Mariahilf!,1148283,B,,Mariahilf,48.19612,16.34943,Entire home/apt,136,30,22,2019-04-13,0.27,1,365,0,
222614,"DOWNTOWN CITYAPARTMENT ""4 CITYEXPLORERS""",1156106,Stefan,,Mariahilf,48.20016,16.36049,Entire home/apt,64,2,581,2021-11-18,4.69,2,336,22,
222776,3 Rooms Flat at Historical Center (I),1151232,Ferry,,Josefstadt,48.20972,16.35418,Entire home/apt,448,1,15,2016-04-11,0.13,4,365,0,
224453,Newly Renovated Suite Apartment(II),1151232,Ferry,,Margareten,48.18413,16.3593,Entire home/apt,48,30,4,2015-06-27,0.03,4,365,0,
229535,City Center - *Most sights in short walk distance!,1108400,Dan,,Leopoldstadt,48.21419,16.37646,Entire home/apt,38,1,459,2021-11-19,3.70,42,346,18,
230772,Beautiful 3 Room Apartment (VIII),1151232,Ferry,,Josefstadt,48.21159,16.35467,Entire home/apt,490,2,35,2017-10-13,0.28,4,365,0,
234613,City Center - Smart Living - Best price in center,1108400,Dan,,Leopoldstadt,48.21269,16.37841,Entire home/apt,26,1,632,2021-11-18,5.21,42,341,37,
235772,Vienna CityApartments - Luxury 1,1235709,Guido,,Landstra§e,48.20947,16.38992,Entire home/apt,90,2,145,2021-11-18,1.25,10,272,21,
235787,Vienna CityApartments - Design 1,1235709,Guido,,Landstra§e,48.1995,16.40202,Entire home/apt,75,2,46,2021-11-02,0.38,10,305,4,
235803,Vienna CityApartments - Premium 2,1235709,Guido,,Favoriten,48.17219,16.36803,Entire home/apt,87,2,82,2021-11-07,0.70,10,2,2,
235805,Inner City - Dorotheum,1235914,Claus,,Innere Stadt,48.20541,16.36867,Entire home/apt,150,3,102,2020-03-03,0.92,2,264,0,
