id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,"Clean, central, quiet",377532,Simona,Kreis 3,Sihlfeld,47.37374,8.51957,Entire home/apt,100,3,49,2019-04-27,0.42,1,56,0,
86645,Stadium Letzigrund - by Airhome,475053,James,Kreis 3,Sihlfeld,47.38038,8.50461,Entire home/apt,195,1,50,2021-07-16,0.39,18,0,1,
143821,marvelous LOFT in SIHLCITY Zürich,697307,Erhan,Kreis 3,Alt-Wiedikon,47.35724,8.52304,Entire home/apt,200,3,0,,,1,362,0,
178448,"a lovely place, top location",854016,Delphine,Kreis 2,Enge,47.36565,8.52753,Private room,60,5,9,2016-05-10,0.07,1,58,0,
204586,very nice luxury city apartment,1004816,Aicha,Kreis 10,Höngg,47.40656,8.48465,Private room,200,3,0,,,1,364,0,
216395,"city studio, modern meets colonial",1116961,Fabio,Kreis 3,Sihlfeld,47.3788,8.50766,Entire home/apt,198,1,0,,,1,364,0,
222565,Bedroom overlooking the lake near,1155866,Ysabel,Kreis 2,Wollishofen,47.33463,8.54117,Private room,69,2,222,2021-04-26,1.80,1,268,1,
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,550,4,28,2021-08-20,0.23,1,358,1,
272841,"room with balcony, city centre",1427927,Anja,Kreis 5,Gewerbeschule,47.38326,8.52718,Private room,72,1,295,2020-11-26,2.40,1,361,0,
283737,Best Location in Zurich Oldtown,1477771,Nuria,Kreis 1,Rathaus,47.37284,8.54324,Entire home/apt,159,4,268,2021-12-13,2.22,2,200,26,
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Kreis 3,Sihlfeld,47.37896,8.50787,Entire home/apt,210,5,10,2021-10-10,0.21,1,82,1,
310964,Large Apartment - Center of Zurich,1266114,Kim,Kreis 1,Hochschulen,47.36802,8.54813,Entire home/apt,360,7,13,2019-01-06,0.11,1,361,0,
418818,Modern Furnished Apartment Zurich,2082742,Carlos Renato,Kreis 3,Sihlfeld,47.37572,8.51291,Entire home/apt,75,5,31,2020-03-19,0.27,1,63,0,
420869,Zürich - we like it!,2093123,Mike,Kreis 9,Altstetten,47.39185,8.48432,Private room,56,2,95,2020-03-06,0.81,1,0,0,
438084,superurbanes schönes helles und ruhiges Zimmer,1241750,Lia,Kreis 5,Escher Wyss,47.38938,8.51844,Private room,80,1,10,2021-09-05,0.34,1,363,2,
551321,Zürich Charming Business/Holiday,2709967,Stephanie,Kreis 3,Alt-Wiedikon,47.37008,8.51368,Entire home/apt,115,2,22,2018-02-08,0.19,1,150,0,
577683,Modern & Spacious Garden-Suite in Zurich,1240329,Claudio,Kreis 10,Höngg,47.40419,8.49593,Entire home/apt,210,5,7,2021-07-03,0.06,1,173,1,
606954,Big and quiet bedroom in green area!,2659673,Esther,Kreis 3,Sihlfeld,47.36867,8.49841,Private room,50,2,4,2020-03-10,0.04,1,0,0,
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,Monica / Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,211,3,100,2021-12-26,0.88,2,282,10,
620130,NB1: Charming 2-room apartment,3072679,Andrea,Kreis 10,Wipkingen,47.39232,8.52876,Entire home/apt,185,3,25,2020-02-08,0.36,5,265,0,
644888,Big and bright duplex in the heart of Zurich,3228273,Violetta,Kreis 4,Hard,47.38003,8.50829,Private room,65,180,16,2021-08-08,0.14,1,235,1,
652938,"Luxurious, in the heart of Zurich!",3275845,P.,Kreis 4,Langstrasse,47.37408,8.53071,Private room,131,3,54,2017-09-28,0.48,1,307,0,
700637,Room Central Zurich-Perfect View!!,3594263,Sacha,Kreis 4,Langstrasse,47.3748,8.52668,Private room,120,10,27,2015-04-26,0.27,1,365,0,
706972,NB2: good value 1-room apartment,3072679,Andrea,Kreis 10,Wipkingen,47.39354,8.53019,Entire home/apt,134,3,8,2020-03-17,0.11,5,271,0,
706997,NB3: Beautiful 2-bedroom apartment,3072679,Andrea,Kreis 10,Wipkingen,47.3937,8.52998,Entire home/apt,165,3,12,2019-05-31,0.11,5,272,0,
736917,Central cosy room with roof terrace,3847136,Lars,Kreis 3,Alt-Wiedikon,47.36592,8.51377,Private room,78,5,6,2015-07-19,0.06,1,56,0,
743035,Guesthouse Im Sonnenbuehl/Uetliberg,3891818,Jacqueline,Kreis 3,Friesenberg,47.35468,8.48535,Entire home/apt,250,2,86,2021-09-10,0.83,1,327,7,
815055,Quiet room in Zürich 5min to center,3693420,Nathalie,Kreis 2,Wollishofen,47.33715,8.53265,Private room,49,1,74,2021-09-01,0.69,1,55,1,
898829,Top location and top apartment in Zürich,4797927,Pietro,Kreis 11,Seebach,47.42659,8.546569,Private room,57,1,191,2021-12-17,1.80,1,360,11,
916032,Spacious loft - close to lake,3020958,Achill,Kreis 8,Weinegg,47.35223,8.56271,Entire home/apt,160,6,0,,,1,354,0,
